explanation,group,llm_likeness,token_count
A road crew would not be sitting around a conference table.  A group of men would not be working on a road with equipment.,old_human,0.013640494725493791,24
Lying on the grass of rugby field is a man holding a ball.,old_human,0.0403684751009755,13
Not just because a man has paint on his face doesn't mean he painted his face for a Halloween event,old_human,0.011123770160457418,21
The young man is either sitting under a tree or playing basketball.,old_human,0.03153840190637994,12
Standing near rail tracks does not imply they are about to repair them.,old_human,0.012554147352457912,13
A blond boy is a type of boy.,old_human,0.021805680436429664,8
"A kid can play outside too, not just inside the house.",old_human,0.018334031313357948,11
"In there water scene there is a sunset in the back, which is called the background.",old_human,0.07732106342788751,16
"One man is listening in on another, and therefore cannot be playing chess with the second man.",old_human,0.036775742443840694,17
because the boy is riding the bicycle doesn't mean he's having fun.,old_human,0.0197627513682619,14
The TV is in the background but this does not necessarily imply that the volume is turned on low.,old_human,0.17498300922329244,19
A man is walking and pushing a young child so he must be using a carriage.,old_human,0.011819334967791414,16
The man and woman are sharing a kiss because one of them is kissing the other person's cheek.,old_human,0.032594237324135064,19
Sand next to water does not necessarily imply a beach.,old_human,0.015477187439993503,10
The street doesn't have to be busy and might be empty.,old_human,0.012352720038761209,12
The woman is smiling because she is a smiling woman.,old_human,0.028000047354403538,10
A man is playing by throwing his young boy into the air.,old_human,0.08832311146171398,12
Looking at the attraction would require the attention of the tourists.,old_human,0.06946844716909023,11
A girl cannot be washing a load of laundry while playing a violin.,old_human,0.010609103739460004,13
A man and girl playing a game can not be talking to the moon.,old_human,0.016795220096895578,14
Playing a card game does not imply it is a poker game.,old_human,0.017530680248863093,12
The group is big because there are twenty five people in the group.,old_human,0.05419581329065482,13
"Sentence one describes a young boy with a colorful ball, sentence two supports the boy and a ball.",old_human,0.0400149451676265,18
No way to tell if the clothes are full of mud.,old_human,0.022546540870532518,11
Vampires wouldn't kiss underneath the bride's veil.,old_human,0.04054229501187443,9
The woman cannot get her face painted while she is surfing.,old_human,0.02571868177698155,11
One cannot infer that the men are late for work.,old_human,0.032949401543779504,10
The men sitting with refuse carts in front of them does not necessarily mean that they are cleaning.,old_human,0.028899649133571573,18
The woman is wearing an American military uniform in both sentences.,old_human,0.04159256173546644,11
A man is entertaining a crowd with a hula hoop need not necessarily be a performer.,old_human,0.014818202876276724,16
Someone strolling with a dog is walking their dog.,old_human,0.03886725326682961,9
Mr. and Mrs. Clause are having a photo taken with a young boy.,old_human,0.04663218770096745,13
The man and woman are either singing copies of books or giving out candy,old_human,0.02622438525504129,14
If the child is riding a bike in a city then he is riding on a street,old_human,0.02461081123445855,17
A group of people walking in a busy city at night because they are celebrating the New year event !!!,old_human,0.032128327734888454,19
"A smiling couple does not mean they are in love, they could be laughing at a joke.",old_human,0.006832505219166747,17
Just because a man and woman are walking down the street togther dose not mean that they are married.,old_human,0.010930440496632027,19
A group of children are not called men.,old_human,0.022732666746454105,8
"An adorable child is a child, and leaping to block is blocking.",old_human,0.03707000973948021,12
Taking photos of a hockey game repeats taking photos of a hockey game.,old_human,0.024071807853861288,13
Either the sneakers are black or white.,old_human,0.035380120463582125,7
The man cannot be taking a nap while driving. The man cannot be driving in the back of a vehicle.,old_human,0.016177317808730392,20
Street vendors typically work at street fairs and a restaurant is a building people eat at.,old_human,0.027930293276067136,16
A painter re-creates old works of art must be copying masterpieces.,old_human,0.013639309878706363,12
Standing in the snow versus having stood on the beach.,old_human,0.07906481759296835,10
The students are in a museum with their teacher.,old_human,0.0714830452976999,9
A person enjoying the scenery is part of the overall description of hme enjoying a beautiful sunny day.,old_human,0.046344828879059774,18
He refers to a man not a woman. The person cannot be adjusting a tie and adjusting a bra simultaneously.,old_human,0.011900943537016635,20
"You cannot infer the people are outside, they could be going through the same action inside.",old_human,0.010605770217907488,16
Just because she is playing does not mean she is teaching her friends.,old_human,0.008848583156031329,13
Just because hair buzzed off does not mean man has long hair.,old_human,0.010893535347348755,12
The people here are in the armed forces because the army troop is in attendance.,old_human,0.08381746421822522,15
A parade is not the only time you can't cross the street.,old_human,0.020896621617158592,13
The men are either having a beer or they saw a log; they cannot do both at the same time.,old_human,0.010269627612322208,20
Just because one is served food outside doesn't mean there has to be an umbrella.,old_human,0.007078262729287906,16
The subject either stands or is sleeping.,old_human,0.03659368285254199,7
""" A woman is lying in the grass ""   is another form of saying  ""  A woman lying in the grass in the park "" as grass is seen in the park.",old_human,0.0633826492433433,28
"If one person is a child, there cannot be two men. Painting and fighting are not the same thing.",old_human,0.006604784665831977,19
If a man has a cigarette doesn't mean he is old or he is smoking a cigar,old_human,0.008684706778183638,18
one leg raised and one arm out versus both arms out.,old_human,0.021041940919163005,11
Men cannot be getting ready to fly an airplane while preparing to operate a helicopter. An airplane is not a helicopter.,old_human,0.01884880144807395,21
A man can wear either a baseball cap or a straw hat.,old_human,0.015424254765956005,12
WE have no idea if the child is her child or someone else.,old_human,0.02076444582316906,13
You can not jump and watch a skateboarder and be rollerblading at the same time.,old_human,0.006932025289201898,15
The white dog is a dog and the dog carrying a ball means the dog has a ball.,old_human,0.048282828213155646,18
Two women and a little girl resting automatically refers to 3 girls resting.,old_human,0.030332368096417327,13
The young man is smoking a cigarette.,old_human,0.052516507108043266,7
A wooden ladder is not a mountain.,old_human,0.015103164067462446,7
People eating food are not necessarily eating Christmas dinner.,old_human,0.0122655654317129,9
A woman with wood is standing with smile on her face in both sentences.,old_human,0.052319391539570846,14
Just because the men are standing in a group doesn't mean they are waiting for a bus.,old_human,0.008710080724971458,18
"The group of people wasn't necessarily a family, and they're not necessarily visiting a zoo.",old_human,0.01766759544397855,17
A person resting above a metro entrance is not assumed to be waiting for a train.,old_human,0.01247636367840773,16
A man recording a woman must mean a woman is recorded by a man.,old_human,0.02981119844107495,14
The two creatures cannot be both men and dogs.,old_human,0.014888969742224237,9
In order to be playing a piano one must have hands on the keys of a piano.,old_human,0.02175424710243884,17
"As the boy is running by some birds which can be anything like field, garden except indoor and so must be outside.",old_human,0.019086859431013778,22
Buildings arent painted as they are being torn down.,old_human,0.012247501852084137,9
The girl's shirt is either white or blue.,old_human,0.03816627623050377,9
"If the person is sweeping by a green trash truck, he/she is a worker.",old_human,0.028057122035335915,15
Children laughing together are not assumed to be pranking each other.,old_human,0.01221394505419778,11
both the sentences imply that the balloon is making a landing.,old_human,0.06178764210736882,11
One can not be eating and while wearing muzzles.,old_human,0.009645555176738731,9
The boy might not be her brother.,old_human,0.017965836671966405,7
A man cannot be wearing a half mask over his face and have nothing on his face simultaneously.,old_human,0.014679418388186012,18
The guitarist standing and sitting at the same time is not possible.,old_human,0.018317999985508725,12
Everyone walking along a train station are not taking pictures.,old_human,0.01726481769961803,10
The man playing is doing it now and continues to do it.,old_human,0.04418876659938687,12
A man in a black shirt is the same as a man who is in a black shirt.,old_human,0.02859575758768355,18
People cannot concurrently walk and bicycle down an alley while also jumping off a cliff.,old_human,0.022326859413124858,15
The boys are with their floats because they are with boogie boards.,old_human,0.04198797404633804,12
ITs either a man or a woman. The person is either showing their head or not . They cannot be on a horse and riding a service vehicle at the same time,old_human,0.010217207907193186,31
One cannot look on while taking a nap.,old_human,0.018676290060256166,8
It does not have to be night for lights to be shining.,old_human,0.018608576924285795,12
People are standing on stage behind a red curtain.,old_human,0.03716358264019259,9
One cannot be standing and sitting simultaneously.,old_human,0.005083627480119537,7
Just because a woman is posing in red for the camera does not mean she wore the same red smock.,old_human,0.022626151264225687,20
The girls must not be in a competition before they can show some prints.,old_human,0.014273011687183616,14
"A boy and a girl are two people, Mike Huckabee signs are a specific type of advertising signs, this is a simpler rephrasing.",old_human,0.03754690697708673,23
The player either has a red helmet or a green and orange helmet.,old_human,0.037495632833520975,13
You can not infer he is trying to make a catch.,old_human,0.008573635788237378,11
They are not holding hands in the park and ballroom dancing at the same time.,old_human,0.016523470787188216,15
You can not infer it's for a family photo.,old_human,0.011089510905391032,10
Prepare food is another way of saying making food.,old_human,0.01977254024233063,9
down jacket can't be inferred as cotton shirt.,old_human,0.007579835378482578,9
Laying floor tiles is a type of hard labor.,old_human,0.020744117875174158,9
A young man need not necessarily be in teen age.,old_human,0.009194717482678062,10
A snowboarder grinding down a long concrete rail must be grinding a rail.,old_human,0.016797146091466764,13
"'Three people' can also be described collectively as 'some people', a hike up a mountainside is a form of exercising and also indicates they are outside.",old_human,0.009442363532520684,26
A person obscured in shadow is not assumed to be trying to be sneaky.,old_human,0.010157166628655422,14
Looking over a bicycle's rear wheel in the maintenance garage implies that the man repairs bicycles.,old_human,0.0599808981958644,17
The kids might not be his sons.,old_human,0.021243131800016673,7
The man is without a shirt because he is shirtless.,old_human,0.0193176443188662,10
"We know that they are building a fence, we do not know that they are building it for customers",old_human,0.011437808076016211,19
The man is either wearing or holding the newspaper.,old_human,0.046292679327369225,9
Just because the women are competitively rollerskating does not necessarily mean they are enjoying rollerskating.,old_human,0.007571110077997362,15
Acting like he is filming shows acting out a scene.,old_human,0.016785532008947505,10
"Guys playing shirts vs skins may not be taking turns, nor may they be playing basketball.",old_human,0.0072224445858592055,16
"Young men hanging out doesn't mean they are related, much less brothers.",old_human,0.014796944342882028,13
You can hold the handles on a two wheeled object and not be riding a bike.,old_human,0.01561867686592145,16
Not all woman holding cellphone or talking with someone on cellphone is calling their husband. They can talk with friends or other family member as well.,old_human,0.03086730487319883,26
"To apply red nail polish, the woman must be sitting and have her feet rest on a leather seat, which means she cannot be standing.",old_human,0.013813781726632935,25
If a group of people stares at a wall with drawings the group can not be at a rave.,old_human,0.024909588158648296,19
"Surfers have plenty of reasons to fall off of a surfboard, other than being flung by the crest of a wave.",old_human,0.04947613486258203,21
Men being at a bar does not necessarily imply that they are drinking beer.,old_human,0.010269361489944194,14
Tomato plants are not assumed to belong to his neighbors.,old_human,0.023805717754680114,10
Just because the woman is on the beach examining an octopus does not mean for sure that she's been fishing in the ocean.,old_human,0.04675070125460148,24
You can not infer the people are a family.,old_human,0.014596570950153993,9
And older woman is an old woman.,old_human,0.035431188020804916,7
An Asian woman in white shirt and black pants holding pink purse,old_human,0.057155477621212016,12
"Some men would be considered people, a grassy area is outdoors.",old_human,0.01721612496321063,11
Groups of people can examine produce or other items without going to buy something.,old_human,0.021881061431223144,14
One cannot be sitting and standing simultaneously.,old_human,0.005326565090587137,7
A sweatshirt is not part of a tuxedo.,old_human,0.014998459336997146,8
"A business suit is a suit. Standing upright is standing, and a man wearing blue is a man in a blue outfit.",old_human,0.044657260623325035,22
"A little girl cannot drive a car, but even if she could, she could not drive a car and ride her bicycle at the same time.",old_human,0.012705479842505966,26
Soccer is a different sport than baseball.,old_human,0.017302381023794756,7
If a dog is standing in water then it is going to be wet.,old_human,0.014275334780512829,14
The twosome do not have to be a mother and her daughter.,old_human,0.017452907597093642,12
"If the guy is in midair on his snowboard, he's in the middle of snowboard tricks.",old_human,0.04366338544066522,17
Someone dressed semi-formally would not be running through the waves because it would ruin their clothes. One cannot be running and seated at the same time,old_human,0.008919071851665579,27
Just because the dogs are swimming in the backyard that does not mean that they are with their owner.,old_human,0.0333031529697384,19
They is a rephrasing of man and women.,old_human,0.011401245735273154,8
Just because a young person is standing on one foot it does not mean they are in a black shirt.  A person does not have to be a young man.,old_human,0.014333929915107816,30
"WE have no idea if his skateboard is colorful or not, it might just be one color.",old_human,0.010685234012112825,17
"When he ""speaks to another man in a dress shirt who is holding a beverage in a glass"" generally, people use gestures with their hands.",old_human,0.042170053969716556,25
The dog coming out of the tunnel may not be a stray and the tunnel may not be part of a subway system.,old_human,0.017676986626422815,23
A leprechaun is not a young man even if he is wearing a green shirt and a hat.,old_human,0.01333551865069508,18
Two ladies could not be jumping if they are napping.,old_human,0.005256500994088948,10
"There are three boys (a boy in blue uniform, boy in red boy in yellow) as they hold baseball gloves.",old_human,0.04394618913805004,20
The male players and women players belong to different genders. People can't play soccer and tennis simultaneously.,old_human,0.026653272803390398,18
Looking over the job site implies at work.,old_human,0.03624617849204199,8
A truck is driving is the same as a truck driving.,old_human,0.018846687163874054,11
the fact that the truck says 'coast gas' doesn't mean he needs to be at a gas station,old_human,0.02343558292150552,19
A woman looking at another woman holding a camera is not assumed to be helping her friend take a picture.,old_human,0.017666598815889785,20
Bubbles surround a statue is a rephrasing of bubbles around the statue.,old_human,0.029523983146081404,12
People kissing does not imply they are an engaged couple.  And people can kiss without an embrace.,old_human,0.011406122905226478,17
One sits or lays but not simultaneously.,old_human,0.032906482156943785,7
A field near a mountains is going to be outdoors.,old_human,0.01803335698981048,10
Bike repairs and bike maintenance are nearly synonymous.,old_human,0.022108061910980793,8
They are either on the pier or in the boat.,old_human,0.03208487744507612,10
A high school band prepares to perform a musical performance.,old_human,0.027485298453332318,10
A man is someone and playing cricket is the same as plays a game since cricket is a game.,old_human,0.020422685325445732,19
A man cannot be riding a horse and be dragged through wet mud simultaneously.,old_human,0.006536572241220297,14
"If the little boy is crying, he is not having fun.",old_human,0.0151667322604561,11
Catching air with water streaming off of the board is windsurfing.,old_human,0.0660092132193361,11
To many people middle eastern would be considered foreign.,old_human,0.01741854307493251,9
"The guy is attempting a skateboard trick, therefore he is a skateboarder",old_human,0.0288193035825828,12
A MAN CANNOT BE STANDING AS HE SITS.,old_human,0.005081160075333235,8
When hugging a post you hold onto it.,old_human,0.020337921112336763,8
It is humanly impossible for a child who is sitting to all of a sudden be one that climbs.,old_human,0.022901619326226405,19
A man implies someone older than a boy. Jumping is a different action than watching.,old_human,0.012844863210822892,15
They cant be walking the bikes if they are on them,old_human,0.010190214682424474,11
"During daytime work it's only required they wear a bright visible colored shirt, not an orange vest.",old_human,0.024087120760024335,18
Yellow dress is a type of dress.,old_human,0.022461986137601597,7
Kids playing in water coming up in streams.,old_human,0.03319952662216585,8
"It is not said where the tennis ball came from, that it was a gift.",old_human,0.03404223977434402,15
A boy in a brace may not be not happy about his situation.,old_human,0.011041979557753354,13
You can not infer he wants to fall to his death.,old_human,0.013520299687119994,11
"A bearded man is a human, and ""jumping"" is a rephrasing of ""jumps in the snow"".",old_human,0.030649269657594444,16
"The man is either looking out a window or playing a guitar; since he is wearing a uniform indicating that he works as a 'Polizes' and not as a musician, he cannot be doing both activities simultaneously.",old_human,0.0075528020171647834,37
You can not infer he is with bodyguards.,old_human,0.00817317144758175,8
You can not infer they are construction workers.,old_human,0.006089563376995994,8
"A very tall bicycle is still a bicycle, and in order to ride it down the street, one must be outside.",old_human,0.029985452609088074,21
a boy cant drink and tell a story at the same time .,old_human,0.015467226366570164,12
An older man with gray hair wearing a gray suit is a repetition of the first sentence.,old_human,0.049351109628140155,17
A fireman inspects some debris therefore looks at some debris while a pickaxe is an axe.,old_human,0.03334003317571024,16
A man is not the only person that can sit on a couch.,old_human,0.022957224626987908,13
They cannot simultaneously be sleeping and feeding each other,old_human,0.007882948717636574,9
People cannot be kneeling and robbing a bank simultaneously.,old_human,0.0066612131017972954,9
There are either four or two men.,old_human,0.022216082877008565,7
He is not necessarily confused because he doesn't know where he is.,old_human,0.002841078858427792,13
A kicker kicking a football does not necessarily mean he kicks off the game. A kicker kicking a football does not mean he intends to surprise the other team.,old_human,0.019857754216050936,29
Staining to climb a cliff does not mean the man is reaching up to secure a handhold.,old_human,0.03507715373844584,17
"There is either a cat or there is a brown dog and a black and white dog, but not both simultaneously, and one either sleeps or is running but not both at the same time.",old_human,0.017670198778205474,35
Two girls walking together is the same as two girls walking.,old_human,0.025082896045575186,11
Lot of pots is a rephrasing of 5 pots.,old_human,0.018186830607134555,9
A woman is smiling while holding a book and a star.,old_human,0.028555782683770715,11
Just because soccer players are playing doesn't mean the opposing team is winning,old_human,0.01601637109713357,14
The man destroyed either a bike or an airplane.,old_human,0.0359273739324461,9
People are shopping for many things at the market including fruits and vegetables.,old_human,0.03676070531905095,13
The woman wouldn't be looking in a mirror is she were blind.,old_human,0.024696875215747087,13
People posing outdoors for a picture are definitely taking a picture outside.,old_human,0.02318201681714005,12
"""Aren't inide (sic) of the building"" is a synonym of ""outside.""",old_human,0.030790928959347815,12
The toy could have been anything other than a ball.,old_human,0.02198202272337232,10
A group of people sitting around tables with computers does not necessarily mean they are game developers creating a new video game in their office.,old_human,0.022070240590069713,25
A bee is an insect but we do not know if that is the type of insect on the girl's finger,old_human,0.040516164017896136,22
Why would the woman flick her cigarette if she does not enjoy smoking,old_human,0.026106621627906973,13
With his teammate describes who the man is celebrating his victory.,old_human,0.07123619945937008,11
The ninja outfit must not be black.,old_human,0.018943288918692933,7
"She may be drawing in the break time, not during class.",old_human,0.01681070523517152,11
Shirtless man is a man with no shirt.,old_human,0.039898560533627635,8
boy implies male; orange sweatshirt is clothes; you cut with scissors in your hand,old_human,0.035938078319207076,14
Man with plaid shirt is a type of man.,old_human,0.03886972016314004,9
"Man a woman are two people, and portrait is a type of picture.",old_human,0.02250721583892165,13
"Women in a Walmart means they are shopping as Walmart  is a shopping mall or a large store, and trying out and looking at laptops means they are shopping for computers as laptops fall under computer category.",old_human,0.017551790675846585,37
One cannot be standing and sitting simultaneously.,old_human,0.005083627480119537,7
The young male running and playing tennis is not necessarily the man who moves while playing a game.,old_human,0.025279793238405665,18
One cannot be crying and laughing at the same time,old_human,0.00685938653593807,10
Tey cannot be busy if they are watching.,old_human,0.002965268277282841,8
The location is either a bathroom or bedroom.,old_human,0.029643080739135692,8
you can't cook dinner and play volleyball at the same time.,old_human,0.010549758090556843,12
Pink jacket is different than a white jacket.,old_human,0.02198294457420359,8
"The woman is either in green or she is in a black shirt but not both at the same time, and she is either looking at a bicycle or she sleeps on a couch, but not both simultaneously.",old_human,0.019244870906540937,38
"The laughing man may have been laughing about something entirely unrelated to the man stuffing his face.  He may have been laughing at him, but he may have been laughing with him.",old_human,0.026814575420435048,32
"either there are men on stage, or women playing trumpets on the street.",old_human,0.03543667522112583,13
"""Puts something"" is a rephrasing of ""puts a substance.""",old_human,0.016597303722879004,9
A car making a right turn in front of three pedestrians that were about to cross the street.,old_human,0.07622002282847727,18
The lady can not dig through a garbage can and make a burger at the same time.,old_human,0.015498583432961554,17
"There wouldn't be a rug in the woods, and either they are running or laying.",old_human,0.013686458298311378,16
A young girl and children are children so there cannot be no children present,old_human,0.011208105550751055,14
"Just because they are dressed in mi-devil costumes, it does not mean that it is for a play.",old_human,0.016567901356763826,19
It is basically impossible to hold onto a wall without being against it.,old_human,0.028008982563298913,13
Not all groups of officers are police officers at a crime scene.,old_human,0.015745891739614225,12
A woman that skis down a snowy hill could not have been climbing a mountain same time.,old_human,0.013903889445590885,17
The person is walking outside because he/she is walking down a path.,old_human,0.022011700733878023,13
A man and a woman are two different genders.,old_human,0.018094720987544582,9
There can either be four boys or one. The boy also can't be playing soccer while eating a sandwich.,old_human,0.009603761750227473,20
"If the skater goes over obstacles, he isn't sitting on the ground.",old_human,0.03294999347862597,13
You can not infer she is eating ice cream.,old_human,0.008707076955773472,9
Just because the men are having a break does not mean they are taking a rest from working.,old_human,0.010191165551487396,18
A man sitting outside cannot be standing inside at the same time.,old_human,0.0063183135009395605,12
"'Two people play flag football' is a less specific rephrasing, the appearances of the people playing are not described but their action is.",old_human,0.05238090187067157,23
Either the dog is running in a field or it is going to the vet.,old_human,0.058700571224250736,15
"""A man is going to kick another man"" is a rephrasing of ""a man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.""",old_human,0.06832092843536895,38
The women could have just been riding without spectators instead of their families watching them from the other side of the farm.,old_human,0.03846940245453167,22
Some TV is not enough to be on a neverending break.,old_human,0.02089586511744674,11
"The group is either walking at a walkway, or eating at a cafe.",old_human,0.032671194240535495,13
The child cannot be getting something out of a tank while a tank is taking something out of the child.,old_human,0.02722296164042485,20
Standing outside a home does not mean they own it.,old_human,0.01233414470185246,10
"The first sentence only implies the man is presenting in front of a television, not necessarily that he is preparing a speech for an audience.",old_human,0.019718619398708608,25
You can not infer it's his wife.,old_human,0.01088374870541666,8
This man could have been British instead of Indian.,old_human,0.024175111197541475,9
They are celebrating happily at fiesta time.,old_human,0.010300730682106723,7
"Seven individuals are people, and inflatable boat is raft.",old_human,0.024315589132299576,9
a dog attacking is going through training,old_human,0.02825987118236609,7
"not all large trees are in his yard, specifically",old_human,0.020110164687535688,9
There is either a man or a child.,old_human,0.012580971556567474,8
You can not infer they are eating tacos.,old_human,0.00578331766471147,8
Children playing in water are not assumed to be muddy.,old_human,0.013591297871268698,10
People who are walking might be walking somewhere other than home.,old_human,0.011278133117970754,11
"If you are riding something, you have not fallen off",old_human,0.009769745994584413,10
"One is either an Obama supporter or one is an Obama Biden supporter but not both at the same time, and one either cheers or one is upset but not both simultaneously.",old_human,0.01690076343421948,32
"The cook isn't necessarily a man, and the food isnt necessarily for the wife.",old_human,0.0511054585729073,15
Reaching into a bag has nothing to do with walking.,old_human,0.03292830031597781,10
"Both of the men, refers to the two guys walking.",old_human,0.05722028456354754,10
Two street people are a form of people.,old_human,0.02916336186282797,8
"If the official and the player are talking, then it is impossible for nobody to be talking.",old_human,0.024140891714270776,17
An elderly man with beard is speaking to the crowd.,old_human,0.07925730252646859,10
Others laugh  as a man holds up a drink.,old_human,0.022676311131804034,9
The boy cannot play if he is asleep.,old_human,0.013903559464552765,8
The girl is in the backseat of a vehicle.,old_human,0.07265706679316995,9
The child is either sitting or climbing.,old_human,0.02874109409713189,7
"He refers to a woman, not two people. They cannot be on a stage and lying on a couch simultaneously.",old_human,0.010142261024914563,20
An animal cannot be a cat and a dog.,old_human,0.009752665608507186,9
1. The SUV is parked therefore it cannot be driven 2. It is stated that the person is getting out of the rear,old_human,0.056803287199056335,23
You can not infer it's for a fair project.,old_human,0.009934858262323334,10
"A breakdancer is a person, and tricks are made is a rephrasing of do a one-handed trick.",old_human,0.015268276539399578,18
They cannot be removing ice while on break.,old_human,0.009048335907174685,8
Working in a cherry picker does not imply that the sun is shining.,old_human,0.04158779363097158,13
a woman cannot be resting and baking simultaneously,old_human,0.007801362932078215,8
Children is plural which means there are multiple and they are dancing.,old_human,0.01642284160151692,12
Having a dog does not imply being part of a dog lover's group.,old_human,0.013271651277383664,14
Cannot occur at both a park and in a closet.,old_human,0.01698720370400565,10
People would be silhouetted by the sunset and appear shadowed.  A boat is another name for a canoe.,old_human,0.04765723793611663,18
A person can not be a man and a woman.,old_human,0.00526974055453949,10
