explanation,token_count,length_bin,group,llm_likeness
A man is standing.,4,01-05,old_human,0.8236444036096476
Playing baseball requires multiple people.,5,01-05,old_human,0.5722145223138252
Snow would be outside.,4,01-05,old_human,0.035896920699285545
A woman is a person.,5,01-05,old_human,0.37448873181316544
Dog is different from cat.,5,01-05,old_human,0.13116369268711375
Not all men are tall.,5,01-05,old_human,0.028780206429237308
The device is a telescope.,5,01-05,old_human,0.5748884320867956
Xylophonists do not play walking.,5,01-05,old_human,0.08187029378343391
Not all children are insane.,5,01-05,old_human,0.010973073116674621
Shoveling snow implies outside.,4,01-05,old_human,0.19212442639343955
Outside is not inside.,4,01-05,old_human,0.016090525852524983
Inside a school implies class.,5,01-05,old_human,0.17746902867932485
Standing does not mean posing.,5,01-05,old_human,0.0032635778307404883
A beach is ouitdoors.,4,01-05,old_human,0.30100030359358615
man  is different from women.,5,01-05,old_human,0.12254821861552406
Two people are not five.,5,01-05,old_human,0.13000735904704847
Not all bicycles are red.,5,01-05,old_human,0.020700748312931127
a violin is an instrument,5,01-05,old_human,0.44946763404785667
Graffiti is covering the wall.,5,01-05,old_human,0.6777431940415368
Answer : Man is the person .,5,01-05,old_human,0.7318532141646644
Players are many.,3,01-05,old_human,0.5309336272179443
Two men are two people.,5,01-05,old_human,0.828558894918419
The flowers are red.,4,01-05,old_human,0.771095825709991
Villagers are people.,3,01-05,old_human,0.3038084699341387
Youth skateboards by a mural.,5,01-05,old_human,0.727982001280612
The snowy hill is outside.,5,01-05,old_human,0.6664901623057341
"Cyclists ride bicycles, not horses.",5,01-05,old_human,0.2026856843763246
All men are not tall.,5,01-05,old_human,0.02395985340689557
Men are not aliens.,4,01-05,old_human,0.009314102153678108
A jumper jump the hurdle.,5,01-05,old_human,0.7483015618033843
Racers are people.,3,01-05,old_human,0.34876518946774016
in doesn't mean wearing,5,01-05,old_human,0.017115815267279684
Bicyclers are people.,3,01-05,old_human,0.15312680889595268
A person is snowboarding.,4,01-05,old_human,0.669968458584854
boy is same as boy,5,01-05,old_human,0.09463765543884213
kitchen is indors,3,01-05,old_human,0.29336625761574986
Inside as opposed to outside.,5,01-05,old_human,0.4330257868415319
SHIRT is not pants.,4,01-05,old_human,0.014443864810259945
Napping is sleeping.,3,01-05,old_human,0.4785232441200678
a person is a man,5,01-05,old_human,0.5998600578835239
Not all bumps are big.,5,01-05,old_human,0.009189043998138321
The officer is a police.,5,01-05,old_human,0.648337429044154
blue is not white.,4,01-05,old_human,0.015593680114957788
A guy is a man.,5,01-05,old_human,0.5683262946204111
Not every shorts are red.,5,01-05,old_human,0.10989035632911533
Tennis player is a person.,5,01-05,old_human,0.30301095769778635
A person is a man.,5,01-05,old_human,0.5998600578835239
workers are people.,3,01-05,old_human,0.32382503482044955
The pool is for swimming.,5,01-05,old_human,0.6667995338406503
A person is walking outdoors,5,01-05,old_human,0.7429423831623386
Several children are a group.,5,01-05,old_human,0.6392250042718901
Girls are people.,3,01-05,old_human,0.32690299062242784
A man is a person.,5,01-05,old_human,0.4813524263851205
looking delighted is not crying,5,01-05,old_human,0.004873505026962628
All people are not tall.,5,01-05,old_human,0.036871205527602105
three hikers are people,4,01-05,old_human,0.4968695046365808
He is playing the guitar.,5,01-05,old_human,0.4354247801157261
toying with is fidgeting.,4,01-05,old_human,0.5297799936947689
Not all dogs are big.,5,01-05,old_human,0.03424433533589401
The street is outside.,4,01-05,old_human,0.5126965069505075
A woman is playing.,4,01-05,old_human,0.9189214057193057
Many visitors are many people.,5,01-05,old_human,0.5931440735056464
Sandy area implies sand.,4,01-05,old_human,0.18789903648958634
Leaflets are papers.,3,01-05,old_human,0.4185538608513731
mean don't mean friends,5,01-05,old_human,0.05566769264500264
White t-shirts are shirts.,5,01-05,old_human,0.611367360409176
A harp is an instrument.,5,01-05,old_human,0.4328002821159101
Not all punks make trouble.,5,01-05,old_human,0.007176109821878162
Woods are a forested area.,5,01-05,old_human,0.46398156829191234
A gavel is an object.,5,01-05,old_human,0.3823264548903851
Children are not adults.,4,01-05,old_human,0.02968747922175627
A rocky shore is outdoors.,5,01-05,old_human,0.5213113444838118
A guy is a man.,5,01-05,old_human,0.5683262946204111
Preparing for dinner implies cooking.,5,01-05,old_human,0.2331297203306087
A duck is an animal.,5,01-05,old_human,0.36554880054054006
A skateboarder is a  person,5,01-05,old_human,0.34076484375379124
Snow is not purple.,4,01-05,old_human,0.021026683961976312
Playing doesn't imply laughing.,5,01-05,old_human,0.08431275911522276
Woman is lady.,3,01-05,old_human,0.467063027450935
Men are Farmers.,3,01-05,old_human,0.6654933642593883
Not all boys are blonde.,5,01-05,old_human,0.030127439048784406
Streets are outside.,3,01-05,old_human,0.6714444027171442
Jumping is doing a trick.,5,01-05,old_human,0.571836119645841
Man cannot be a kid,5,01-05,old_human,0.009537934545452154
woman doesn't mean mother,5,01-05,old_human,0.0259327189657962
women doesn't mean models,5,01-05,old_human,0.023217097684469147
bicycle can't be train.,5,01-05,old_human,0.007526553914608891
Smiling people are usually happy.,5,01-05,old_human,0.6220178379993865
dogs cannot be kittens.,4,01-05,old_human,0.007987329697866048
In a park implies outside.,5,01-05,old_human,0.2545070758483949
Beach implies sand.,3,01-05,old_human,0.102625483000654
Not all structures are building.,5,01-05,old_human,0.030277315863462332
Women are not men.,4,01-05,old_human,0.0397954798910641
Sits versus eating.,3,01-05,old_human,0.7151937536380709
The airport terminal is indoors.,5,01-05,old_human,0.5840375158439375
The dog is also white.,5,01-05,old_human,0.5359489259229556
Whispering implies secret.,3,01-05,old_human,0.06667841147348554
Many girls are playing basketball.,5,01-05,old_human,0.7353666040309066
Men are referred as people.,5,01-05,old_human,0.4136201443251948
a dog is an animal,5,01-05,old_human,0.44639163376923974
boy doesn't mean hispanic,5,01-05,old_human,0.031902206972838465
Screaming is yelling.,3,01-05,old_human,0.47334021911329144
Fancy box implies decorated box.,5,01-05,old_human,0.2353772923277415
Two men are two people.,5,01-05,old_human,0.828558894918419
People conversing must be talking.,5,01-05,old_human,0.09298907083789208
In pants means wearing pants.,5,01-05,old_human,0.48465460563200236
The ship is a boat.,5,01-05,old_human,0.6524532008377388
Some tables are long.,4,01-05,old_human,0.7980649576856412
The advertising billboard is outside.,5,01-05,old_human,0.6065378759882103
Reaching up versus sitting in.,5,01-05,old_human,0.7820513498495272
Trees are different than dogs.,5,01-05,old_human,0.04843140594264204
the sidewalk is outside,4,01-05,old_human,0.5350721823226233
The man is an interviewer.,5,01-05,old_human,0.8448087363692939
A female is a person.,5,01-05,old_human,0.24365132490303146
Runs occur while playing tennis.,5,01-05,old_human,0.6122578166541894
Soaked and wet are synonyms.,5,01-05,old_human,0.34046295546031724
A boy is a kid.,5,01-05,old_human,0.6878575444470908
Not all women are elderly,5,01-05,old_human,0.009446103513352505
All unidentified things are UFO,5,01-05,old_human,0.2686540489743863
Young redheaded is a redheaded.,5,01-05,old_human,0.5583190156947934
THE COUPLE COULD BE YOUNG.,5,01-05,old_human,0.1339863410908946
Holding a handsaw implies sawing.,5,01-05,old_human,0.016996700891789694
An old man is old.,5,01-05,old_human,0.9096832280793102
A person is someone.,4,01-05,old_human,0.5344911899956741
cowboy is a man.,4,01-05,old_human,0.5148969341154789
ocean waves implies the beach.,5,01-05,old_human,0.1845671785790402
Two men are some people.,5,01-05,old_human,0.9322811139303971
People waiting outside a building,5,01-05,old_human,0.705087333601525
Looks weary is looks tired.,5,01-05,old_human,0.6307621941254392
Women are not usually bald,5,01-05,old_human,0.03962474264212365
Older women is lady.,4,01-05,old_human,0.38453338833366585
A kick is a move.,5,01-05,old_human,0.44729003954381163
Art is not sharks.,4,01-05,old_human,0.0020802345769045404
Not all people have supporters.,5,01-05,old_human,0.018739103114584814
A crowd is not alone.,5,01-05,old_human,0.020189499445822386
Glowers doesn't mean resting.,5,01-05,old_human,0.015645560919953384
Is laying implies relaxes.,4,01-05,old_human,0.09311976712203872
walking doesn't mean tour,5,01-05,old_human,0.05221641347208391
Not all males are tall,5,01-05,old_human,0.038297090707082274
Both child are playing something.,5,01-05,old_human,0.5062687445536056
Not all swings are blue.,5,01-05,old_human,0.013192360517956145
Pastures implies outside.,3,01-05,old_human,0.04157855961956783
both involve a man kicking..,5,01-05,old_human,0.4234273150394736
Fireworks are not decorations.,4,01-05,old_human,0.041130648840521825
two hikers are two people,5,01-05,old_human,0.6909068517606333
The sidewalk is outside.,4,01-05,old_human,0.5350721823226233
man is male,3,01-05,old_human,0.691234286213147
The man has black hair,5,01-05,old_human,0.8063748883929236
A working woman staples papers.,5,01-05,old_human,0.7285541681791916
A boy is a child.,5,01-05,old_human,0.5991449083652024
Kids can dance without jiving.,5,01-05,old_human,0.17008064789307084
Grassy fields are outside.,4,01-05,old_human,0.6072491647533652
A man is a person.,5,01-05,old_human,0.4813524263851205
A notebook is something.,4,01-05,old_human,0.43416014195886354
Navy men are some men.,5,01-05,old_human,0.8552569271102651
Brick sidewalk implies outside.,4,01-05,old_human,0.1904432520969349
Two women are women.,4,01-05,old_human,0.6432623854537032
Cyclists are people riding bicycles.,5,01-05,old_human,0.46819763725577085
A bicycle is a bike.,5,01-05,old_human,0.4399394738385211
two men refers to people,5,01-05,old_human,0.27945069128290034
The firemen are people.,4,01-05,old_human,0.509684516293332
they didn't say flowers,5,01-05,old_human,0.32063691693047847
Man and guy are synonyms.,5,01-05,old_human,0.5797424019781802
Dancers are not necessarily magicians.,5,01-05,old_human,0.0075466927338657536
Gymnasts are not a band.,5,01-05,old_human,0.03596011068760277
Not every bus carries tourists.,5,01-05,old_human,0.06092789516996664
Two woman are women.,4,01-05,old_human,0.6630090029195815
Several people are many people.,5,01-05,old_human,0.7517352146118628
signage to implies sign in,5,01-05,old_human,0.24106989328977474
Research implies working.,3,01-05,old_human,0.02088937087547638
group is rephrasing crowd.,4,01-05,old_human,0.09372927777120424
Welding can be done indoors.,5,01-05,old_human,0.02392547512894296
The restaurant is a building.,5,01-05,old_human,0.6538887067334194
child swing in playground,4,01-05,old_human,0.7752131929408069
boys are riding the bus,5,01-05,old_human,0.6482672215343018
Not all girls are white.,5,01-05,old_human,0.026315651121400656
plays doesn't mean practicing,5,01-05,old_human,0.023392933303197333
A group versus one.,4,01-05,old_human,0.5398807109356869
Doing snowboard trick implies snowboarding,5,01-05,old_human,0.1945762717528486
Group of people are people.,5,01-05,old_human,0.6349781084189392
Men  are eating food.,4,01-05,old_human,0.8064970067424639
Not all tattoos say mother.,5,01-05,old_human,0.01945837718376611
Homeless men cannot own homes.,5,01-05,old_human,0.3477812476153916
lift bucket welds means wrking,5,01-05,old_human,0.1963094420299309
Answer:  Hoop is a game,5,01-05,old_human,0.4575327472641896
A lake implies outdoors.,4,01-05,old_human,0.10172210991335559
Puppies are animals.,3,01-05,old_human,0.46034505018729005
Hotdogs are not fish.,4,01-05,old_human,0.04201180245774525
Not all people are friends.,5,01-05,old_human,0.03428584302948598
with vest means wearing vest,5,01-05,old_human,0.449084740457853
The woman is singing.,4,01-05,old_human,0.8502975330051987
Pulling a sled implies snow.,5,01-05,old_human,0.14193563727573955
The baby is delighted smiling.,5,01-05,old_human,0.767585198517749
A street is outside.,4,01-05,old_human,0.3019856234714442
Sitting does not indicate resting.,5,01-05,old_human,0.01580815870876902
Younger Asian boy is child.,5,01-05,old_human,0.648785077720421
Teacher's help implies learning.,5,01-05,old_human,0.15883830788625733
Musicians are people.,3,01-05,old_human,0.3218611470295152
Outdoors can only be outside.,5,01-05,old_human,0.023710761630539964
A man is a person.,5,01-05,old_human,0.4813524263851205
In the sky is overhead.,5,01-05,old_human,0.6579184139818516
Group of men are men.,5,01-05,old_human,0.771501805833689
The woman is outside.,4,01-05,old_human,0.8218947726166786
Standing implies he is upright.,5,01-05,old_human,0.020020300202862204
A woman is a person.,5,01-05,old_human,0.37448873181316544
Not all people are tall.,5,01-05,old_human,0.04142221945012119
The three men are seated.,5,01-05,old_human,0.8907724653729089
People on bicycles are bicyclists.,5,01-05,old_human,0.7003465700803228
The women are digging,4,01-05,old_human,0.8009118165923331
the construction workers are men,5,01-05,old_human,0.6927890867708438
Not all canoes are white.,5,01-05,old_human,0.004749125258247106
The woods are outside.,4,01-05,old_human,0.7053519484984334
Men are adult males.,4,01-05,old_human,0.6876764218819024
People are buying Christmas decorations.,5,01-05,old_human,0.7198377282011409
Young snowboarder is person.,4,01-05,old_human,0.39811244115127814
The street is outside.,4,01-05,old_human,0.5126965069505075
People can never be mines.,5,01-05,old_human,0.013533858810910376
Items are stuff.,3,01-05,old_human,0.542086950627283
Woman is a lady.,4,01-05,old_human,0.467063027450935
Trees are outdoors.,3,01-05,old_human,0.37897540031034466
A woman is a lady.,5,01-05,old_human,0.467063027450935
Not all people are males.,5,01-05,old_human,0.016008295059590644
Men cannot be women.,4,01-05,old_human,0.004809418753198092
Not all men are brothers.,5,01-05,old_human,0.028931441730932924
Not all cyclists ride alone.,5,01-05,old_human,0.014011435928018984
Two woman are people.,4,01-05,old_human,0.5642625388570831
The child is doing gymnastics.,5,01-05,old_human,0.7548087625244554
Not all children can swim,5,01-05,old_human,0.009674180836902118
A man is a guy.,5,01-05,old_human,0.747918374024899
The man wears a helmet.,5,01-05,old_human,0.7971818580875049
A man cannot spout wings,5,01-05,old_human,0.2635969057938995
Customers are not themselves.,4,01-05,old_human,0.04616439791817946
Two men are some people.,5,01-05,old_human,0.9322811139303971
A brochure contains information.,4,01-05,old_human,0.5882790291837406
A library is not outside.,5,01-05,old_human,0.027090248505671814
Water makes things wet.,4,01-05,old_human,0.5623990679734734
Not all men have friends.,5,01-05,old_human,0.01238248548678785
Men and boys are people.,5,01-05,old_human,0.30447499172286224
Not all girls are Asian.,5,01-05,old_human,0.025798795027695692
Taking pictures implies posing.,4,01-05,old_human,0.22747980787463976
A man is a person.,5,01-05,old_human,0.4813524263851205
Not all restaurants are crowded.,5,01-05,old_human,0.015340784849922188
Woman and man are different.,5,01-05,old_human,0.07627005058944374
children may not be kids.,5,01-05,old_human,0.008119437922496829
Bull is animal.,3,01-05,old_human,0.4143092272829179
waves is moving her hand,5,01-05,old_human,0.6659750852353543
Atop is on the building.,5,01-05,old_human,0.6755159888071617
Not all benches are outside.,5,01-05,old_human,0.00337018815804397
Speaking and addressing are synonyms.,5,01-05,old_human,0.36713904380856877
A patient is a someone.,5,01-05,old_human,0.4526754374944905
a women is  doing gymnastic,5,01-05,old_human,0.594237294888242
Greyhounds are dogs.,3,01-05,old_human,0.525622221266387
A bicyclist is a human.,5,01-05,old_human,0.46836764130518954
People are not a man.,5,01-05,old_human,0.06610072467856566
A kid is a child.,5,01-05,old_human,0.4794013317190698
The animal is stuffed.,4,01-05,old_human,0.48602127623030333
Children are people.,3,01-05,old_human,0.3305727890416297
the girl has a flower.,5,01-05,old_human,0.7743886507036605
Girls are people.,3,01-05,old_human,0.32690299062242784
Rollerblading is different than skating,5,01-05,old_human,0.022897517343047655
The man is wearing blue.,5,01-05,old_human,0.9428182535819025
Lamps are not inside pockets,5,01-05,old_human,0.016151276901263893
Somebody is not nobody.,4,01-05,old_human,0.024965498049274896
At hillside is outdoors.,4,01-05,old_human,0.45119828087316954
Not all men are hispanic.,5,01-05,old_human,0.013686270817334046
Guys are not women.,4,01-05,old_human,0.06627167562183381
Not all people are tall.,5,01-05,old_human,0.04142221945012119
The food truck is red.,5,01-05,old_human,0.725895814311879
Ponds are generally outside.,4,01-05,old_human,0.4667966997056845
Canoe is a boat.,4,01-05,old_human,0.5475462634938504
Bystander is woman.,3,01-05,old_human,0.3072082165135788
The kids performed a skit.,5,01-05,old_human,0.773116572922986
"""Trying to get "" describes ""maneuver"".",5,01-05,old_human,0.7510331319586228
Not all flowers are lilacs,5,01-05,old_human,0.00728780349329392
A gentleman is a man.,5,01-05,old_human,0.4712619170663857
Team are people.,3,01-05,old_human,0.4140274537617001
standing doesn't mean walking,5,01-05,old_human,0.026164533960040755
Produce are vegetables.,3,01-05,old_human,0.4479543357287336
People looking at mountains.,4,01-05,old_human,0.7451406948425235
The young man has glasses.,5,01-05,old_human,0.8644876642474124
Park implies outside.,3,01-05,old_human,0.1425984040845129
The Man wearing full mask,5,01-05,old_human,0.9348500383965314
A road is outdoors.,4,01-05,old_human,0.37794799278369084
Landed implies not moving.,4,01-05,old_human,0.0007766254958202931
Vegetables are not junk.,4,01-05,old_human,0.03294754440781572
Pulling items is moving items.,5,01-05,old_human,0.492183041678473
Skyscrapers are large buildings.,4,01-05,old_human,0.6566218049593361
Both man are holding onions.,5,01-05,old_human,0.376986727118877
A crowd implies people.,4,01-05,old_human,0.0911037816726839
Woman is a human.,4,01-05,old_human,0.5539221027642088
Identical does not mean twin.,5,01-05,old_human,0.00593351779151762
Not every man sips whisky.,5,01-05,old_human,0.028596984657374695
Running is not walking,4,01-05,old_human,0.03473867038036334
Grapes are not vegetables.,4,01-05,old_human,0.007634528418660471
Guy is man.,3,01-05,old_human,0.5683262946204111
Not all boys are sad.,5,01-05,old_human,0.028313942417381548
Not all people who take pictures are photographers.,8,06-10,old_human,0.04417077559785596
Chatting in a restaurant implies sitting around a table.,9,06-10,old_human,0.4377785320074963
"HOCKEY PLAYER IS SINGULAR, WHILST PLAYERS INDICATES MORE THAN ONE.",10,06-10,old_human,0.2464015044682272
Sledding and snowboarding are different winter activities.,7,06-10,old_human,0.09640960834087885
Grass grows outside so the boy is running outside.,9,06-10,old_human,0.6858615601034235
""" Some people "" is ambiguous and does specify anyone in general.",10,06-10,old_human,0.41970912499781887
Advertisements can be for something other than food.,8,06-10,old_human,0.03083240376116605
Monarch butterfly is a type of butterfly,7,06-10,old_human,0.19521154686499342
A man in front of a temple would be outside.,10,06-10,old_human,0.1965114568524508
Either they are fencing or playing dodgeball.,7,06-10,old_human,0.024707100609185767
Two men is a specific number of men.,8,06-10,old_human,0.5120095960954376
Serving the ball implies hitting the ball,7,06-10,old_human,0.47376771742752954
Store is another term for marketplace.,6,06-10,old_human,0.4753657197443568
The location is either a bathroom or bedroom.,8,06-10,old_human,0.0702408290360261
An orange sweater is not assumed to have black stripes.,10,06-10,old_human,0.13026911372742586
The term gymnasts does not particularly refer to female gymnasts.,10,06-10,old_human,0.10326424696862542
"If the road is icy, it's not dry.",9,06-10,old_human,0.018607089791232063
Traditional garb is worn for more than just a funeral.,10,06-10,old_human,0.239280222147184
Blue and red are separate colors.,6,06-10,old_human,0.52112286195376
Children playing is commonly done outside.,6,06-10,old_human,0.46766276165631576
it cannot be either falling down or walk off,9,06-10,old_human,0.0052363446032205885
"a computer is a mechanical device, not a structure",9,06-10,old_human,0.08466990863899494
"The man and women are outside, sidewalks are outside.",9,06-10,old_human,0.7348270072430357
Gymnasts warm up and football players practice,7,06-10,old_human,0.6079418607084653
The girl is wearing a pink dress.,7,06-10,old_human,0.8287946173170142
there cannot be a flower field inside .,7,06-10,old_human,0.025546314967415024
The boy can't be a girl.,7,06-10,old_human,0.08707125535103015
The person cannot be a man and a woman,9,06-10,old_human,0.05396184438310314
"""Shirt is gray"" is a rephrasing of ""gray shirt.""",9,06-10,old_human,0.045088840553278484
Either this is a little girl or a little boy.,10,06-10,old_human,0.24608679829757169
People entails 3 people as they shop in a market.,10,06-10,old_human,0.4802711896859946
Whiffs a ball implies swinging a bat.,7,06-10,old_human,0.14887723619291457
He refers to men not women.,6,06-10,old_human,0.025590708540832348
Indoor racetracks aren't usually long.,6,06-10,old_human,0.28767155167550296
Painting the post makes it look better.,7,06-10,old_human,0.5733201029792447
Men are considered to be people.,6,06-10,old_human,0.15633366188137857
When fans are cheering they are making noises.,8,06-10,old_human,0.3128649382361973
The man is not necessarily teaching the boy about cars.,10,06-10,old_human,0.14933991445454603
Carpeting is not done on a yard.,7,06-10,old_human,0.049835740307028975
most skating rinks are not in a park,8,06-10,old_human,0.0920743889445518
There can be either guitar or drums.,7,06-10,old_human,0.004539504149425577
make their way through a crowd means There is crowd.,10,06-10,old_human,0.4067748683864651
In a church a band is assembled.,7,06-10,old_human,0.647153277176342
Pushing a cart is different from buying a lottery ticket.,10,06-10,old_human,0.1401664677311464
People would not be sitting if they were throwing rocks.,10,06-10,old_human,0.008559302633043608
Dogs are not the same as wolves.,7,06-10,old_human,0.0010439396846720769
Sentence one does not state that the tree is dead.,10,06-10,old_human,0.011615467951738062
this tennis outfit is a white outfit,7,06-10,old_human,0.6166128477831887
A couple that sits cannot stand.,6,06-10,old_human,0.0960521802218828
Children is the same as multiple people.,7,06-10,old_human,0.03502669889240036
Either the man is young or old.,7,06-10,old_human,0.19703486062992515
Walking on the sidewalk implies outdoors.,6,06-10,old_human,0.31312430776351746
Not all dancers perform to latin music.,7,06-10,old_human,0.016184322061069595
A skier cannot be a surfer simultaneously,7,06-10,old_human,0.008814355050845803
In a white t-shirt implies wearing a white shirt.,10,06-10,old_human,0.4241605070824985
Answer: Lays refers to resting by laying down.,8,06-10,old_human,0.30418562877615796
Yelling and shouting is not a choir practicing.,8,06-10,old_human,0.03387120221982446
""" cleaning her feet "" is another form of "" cleans her feet "".",10,06-10,old_human,0.38577445506771024
wearing yellow gloves is the same as wears gloves.,9,06-10,old_human,0.10646000305084408
A woman stapling & multiple women shuffling contradict.,7,06-10,old_human,0.647273101724349
is this about a woman or two adults,8,06-10,old_human,0.4371857701046354
Three girls are jumping and they are by a garden.,10,06-10,old_human,0.3396327716901394
dogs fighting  doesn't always mean  dogs hate each other.,10,06-10,old_human,0.087614535544731
The people eating cupcakes can be either girls or boys.,10,06-10,old_human,0.015595596748033087
A building in not assumed to be a school.,9,06-10,old_human,0.057753733534228045
"Outside may refer to many places, not particularly a beach.",10,06-10,old_human,0.06678310910648697
Three clubs is different from a bear.,7,06-10,old_human,0.09841952853856964
She cannot be frowning if she is happy.,8,06-10,old_human,0.008834488893376319
Some video does not imply multiple videos.,7,06-10,old_human,0.01993071974148167
A woman can be a race other than white.,9,06-10,old_human,0.009590669666513903
A city is one type of attraction.,7,06-10,old_human,0.10547700110747464
Riding a bike is a rephrasing of rides a bike.,10,06-10,old_human,0.09678406788842372
A person can sit outside and not waiting for someone.,10,06-10,old_human,0.10667263941843676
A woman who inspects a black garment cannot drink beer.,10,06-10,old_human,0.24329625555749326
The man is either playing football or baseball.,8,06-10,old_human,0.19118406474666555
talking doesn't have to be discussing peace treaties,9,06-10,old_human,0.04131818379353064
The jumping over the mountain crevasse must be outside.,9,06-10,old_human,0.3149862918592329
A ceremonial garb is a traditional wear.,7,06-10,old_human,0.404516648610923
Boats can sail together without racing.,6,06-10,old_human,0.27338812714851074
Sand next to water does not necessarily imply a beach.,10,06-10,old_human,0.009314249319208955
You can not infer the piano is black.,8,06-10,old_human,0.02232636228388738
People laughing does not necessarily imply that they tell jokes.,10,06-10,old_human,0.0017174184118095234
The people cannot be both women and men.,8,06-10,old_human,0.013398155932946304
The men cannot be sitting and standing simultaneously.,8,06-10,old_human,0.03372633836130304
smoking a cigarette doesn't always mean cigar,8,06-10,old_human,0.13794540524688262
speaking and  not talking are opposite to each other,9,06-10,old_human,0.13824630122249576
The group of people is either running or standing.,9,06-10,old_human,0.12973042511842686
Poking a long stick implies holding a stick,8,06-10,old_human,0.21554821705409807
Practicing kicking is a form of exercising.,7,06-10,old_human,0.13897845552643487
