premise,hypothesis,label,label_name,explanation
These two people are eating.,These two people are having a meal.,0,entailment,"The premise gives related context (Someone is surfing a giant wave), but it does not provide enough evidence to confirm or deny that A surfer on the biggest wave that's ever been seen on this beach."
A woman in a black dress and black heels carries a shopping bag while leaning against a green bar while her child plays with a toy truck on the ground.,A mother pushes her son in a stroller.,2,contradiction,The hypothesis is supported by the premise: a man with a yellow shirt standing behind a black podium. This is consistent with the claim that There is a man standing behind a podium.
Young boy hitting a rock with a hammer.,Young boy hitting a rock with a tool.,0,entailment,"The hypothesis conflicts with the premise. The premise states Women in a forest exploring nature, which contradicts the claim that Men are in a forest."
Two people are playing water volleyball and one teammate is bracing another.,One teammate is holding onto the  other one.,0,entailment,"The hypothesis conflicts with the premise. The premise states A fully dressed young woman runs a pole down into a swimming pool, which contradicts the claim that A naked woman cleans a pool."
A group of people are listening to a man with a moustache speak into a microphone.,A group of people are listening to a man.,0,entailment,"The hypothesis conflicts with the premise. The premise states A skier carefully walks down a steep snow slope, which contradicts the claim that A skier is walking down a ski slope while he watched the price is right on."
Woman on cellphone running in the snow.,A man watches tv.,2,contradiction,"The premise gives related context (A girl wearing glasses and a brown plaid long sleeved shirt holds a cup and looks), but it does not provide enough evidence to confirm or deny that The girl is sitting on a rug."
"A man with a watch on his left wrist, plays a Yamaha keyboard.",A man with a watch on his right wrist plays the keyboard.,2,contradiction,The hypothesis is supported by the premise: A man on a snowboard travels downhill towards the camera. This is consistent with the claim that A man has a snowboard.
two men each wearing jackets leaning on a railing near a snowy road,They are standing by the road.,1,neutral,The hypothesis is supported by the premise: An orange cat with black stripes on a beach. This is consistent with the claim that A cat is near a beach.
Commuters rush to get on the late train.,There are people at the train station.,0,entailment,"The hypothesis conflicts with the premise. The premise states A man of african descent wearing a red shirt is sewing a garment outside a building, which contradicts the claim that A man of african descent is wearing a blue shirt."
"A person in a blue kayak, paddling over rough water.",A person is kayaking in water.,0,entailment,"The hypothesis conflicts with the premise. The premise states A woman in a black dress smiles in front of a silver truck, which contradicts the claim that The woman is inside."
A man helping a boy ride a bike.,The man is teaching the boy how to ride a bike.,1,neutral,The hypothesis is supported by the premise: A woman with a tattoo is playing the saxophone. This is consistent with the claim that A woman is playing an instrument.
"Over a dozen people surrounding and taking pictures of two people in all covered head to toe in all silver, in an artistic pose.",Over a dozen people try to move past some street performers without paying them any mind.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Young man in a swimsuit surfing on brown waters, which contradicts the claim that A gaggle of girls are building a sandcastle on the beach."
"Four people are playing instruments, including a woman dressed in black playing a flute.","Five people are playing instruments, including a woman dressed in black playing a flute.",2,contradiction,"The hypothesis conflicts with the premise. The premise states A youth marching band in blue jackets holding up their instruments during a parade, which contradicts the claim that A funeral procession."
A young man is grilling hamburgers and hotdogs in a park on a sunny day.,A young man is grilling.,1,neutral,"The hypothesis conflicts with the premise. The premise states One woman is smoking and talking to another woman, which contradicts the claim that There is a group of clowns talking."
A duck and several plastic containers floating in water.,A duck swims in a lake,1,neutral,The hypothesis is supported by the premise: A man in jeans and a black jacket picking up his food. This is consistent with the claim that A man is eating.
A man with a denim hat and white beard gives a thumbs up.,A man gives a thumbs up.,0,entailment,"The hypothesis conflicts with the premise. The premise states The two young boy were playing a volleyball, which contradicts the claim that A boy plays with a soccer ball."
A girl trick or treats with a black and red dress with black and white sleeves holding a scythe.,The child likes candy.,1,neutral,The hypothesis is supported by the premise: Two motorcyclists racing neck and neck around a corner. This is consistent with the claim that The two motorcyclists are racing each other.
A varied group of people are on all fours with a woman laying on top of them; a man is seen attempting to jump or flip over them.,A man tries to leap over a group of people on the ground.,0,entailment,"The hypothesis conflicts with the premise. The premise states A farmhand in training points over the barrier at a livestock auction, which contradicts the claim that The farmhand is sitting on his couch."
Six young adults smiling in a group.,The young adults are together in a group.,0,entailment,The hypothesis is supported by the premise: A dog running with something in its mouth. This is consistent with the claim that A dog is running.
A soccer player in blue is chasing after the player in black and white.,girl chases dog,2,contradiction,The hypothesis is supported by the premise: Young men playing football. This is consistent with the claim that People are playing.
A man kneels down by a machine.,A man is kneeling.,0,entailment,The hypothesis is supported by the premise: Older lady wearing glasses and working on rolling out a dough like substance. This is consistent with the claim that A woman is baking.
A girl wearing a colorful hat sits on a woven mat.,A woman as something on her head.,0,entailment,The hypothesis is supported by the premise: People on ATVs and dirt bikes are traveling along a worn path in a field surrounded. This is consistent with the claim that Off road vehicles are on a wooden path.
Two young men are having good time.,Two lovers are doing fun things.,1,neutral,"The hypothesis conflicts with the premise. The premise states A barefooted elderly man sleeping on a bench, which contradicts the claim that There is a woman on the bench."
A young male child running and smiling quite contently.,A boy is smiling while he runs to his mother.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two rickshaw operators waiting for a fare with traffic in the background, which contradicts the claim that Two rickshaw operators are taking a break."
"A woman sits next to a smiling young girl, both seated at a table for a meal.",A woman sits next to her son.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Five men stand outside and look like they are about to work, which contradicts the claim that Three men are sitting on the couch."
Two black dogs are fighting over a toy,The dogs are black.,0,entailment,"The hypothesis conflicts with the premise. The premise states a man and a woman are laughing together, which contradicts the claim that the woman cried during the sad movie."
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,0,entailment,The hypothesis is supported by the premise: Man in a business suit holding a protest sign by the street. This is consistent with the claim that Man is protesting.
A middle-aged man is getting his head completely shaved by another middle-aged man with hair.,The two men are at a play for children.,2,contradiction,The hypothesis is supported by the premise: Man with brown hair and a woman with blond hair smile. This is consistent with the claim that A man has brown hair along with a woman who has blond hair.
A man is outside watching a small TV.,a man is watching a show,0,entailment,"The premise gives related context (The man carries a large backpack while hiking through snow covered terrain), but it does not provide enough evidence to confirm or deny that A man is headed to cabin in the snow."
Women wearing black standing and smoking.,The woman is wearing red,2,contradiction,"The premise gives related context (An Asian man in a colorful robe is writing on a parchment), but it does not provide enough evidence to confirm or deny that An Asian man in a large colorful robe."
A man is splitting wood in front of an audience.,A man is joining all the woods to make it as a furniture,2,contradiction,"The premise gives related context (Some adults stand by a wall covered in art graffiti at night), but it does not provide enough evidence to confirm or deny that Some people are talking about a wall covered in graffiti near them."
The field is fenced in.,There is a fence around the field.,0,entailment,"The premise gives related context (The backs of the heads of two men that are plugging their ears while riding the), but it does not provide enough evidence to confirm or deny that The two men riding the subway are coworkers."
A man puts a long object in his mouth while a woman holds a cake.,A young boy threw a piece of cake,2,contradiction,The hypothesis is supported by the premise: a man with a ponytail sitting before an important man with a crown. This is consistent with the claim that A male is with another Male with a crown.
This women is enjoying the nice hot summer weather in the tropical while enjoying a nice refreshing drink.,The woman has a drink.,0,entailment,"The hypothesis conflicts with the premise. The premise states Two ladies next to a stroller inside a building, which contradicts the claim that A man draws a skull."
A man with a yellow hard hat is standing on a ladder that is leaned up against a building.,There is a man outside.,0,entailment,"The premise gives related context (A beautiful horse is running in a fenced in area), but it does not provide enough evidence to confirm or deny that some animal running in a race."
A group of motorcyclists riding down the street.,People are riding bicycles.,2,contradiction,"The hypothesis conflicts with the premise. The premise states People are working on computers in an office with gray carpet and white walls, which contradicts the claim that The walls are red."
"a stand with many different dry foods, such as nuts.",A stand at a grocery store,1,neutral,"The premise gives related context (Workers doing their jobs at a work site), but it does not provide enough evidence to confirm or deny that Construction workers are building a new mini mart."
A man stands behind some merchandise in an area with lots of candles.,A man works in his candle store,1,neutral,The hypothesis is supported by the premise: A girl doing something on her cellphone. This is consistent with the claim that There is a person with a telecommunications device.
A few people sit out on rocks overlooking the water below.,People are on vacation.,1,neutral,"The hypothesis conflicts with the premise. The premise states A gray dog is jumping toward a black and white dog in the snow, which contradicts the claim that A white dog burrows into a hole."
A man and woman are standing on the side of a busy street.,People are outside.,0,entailment,The hypothesis is supported by the premise: A shopkeeper is explaining something to a patron. This is consistent with the claim that A shopkeeper is speaking to a patron.
A man in a cowboy hat on a horse swinging a rope to catch a bull.,A tall human swigning.,1,neutral,"The hypothesis conflicts with the premise. The premise states Three men are standing in a forest, which contradicts the claim that Three women are in a forest."
A dog is swimming in the water with a stick in his mouth.,A dog is sitting in a truck,2,contradiction,The hypothesis is supported by the premise: A group of people who are wearing bright orange jackets and black pants are standing together. This is consistent with the claim that A gathering of people surrounds itself around an object.
two women are in a boat fishing,two women are fishing,1,neutral,"The hypothesis conflicts with the premise. The premise states A man lounging on a couch surrounded by more furniture, which contradicts the claim that the man running a race."
The children are playing in the sand at a rocky beach.,The children are playing in the spaceship,2,contradiction,"The hypothesis conflicts with the premise. The premise states A girl dressed in black with a purse on her arm is smiling at a man, which contradicts the claim that A woman wearing black with a handbag full of dog treats."
