premise,hypothesis,label,explanation,label_name
"A man in a yellow shirt and blue jeans is passed out, sleeping, dead or resting his eyes on a sidewalk.",A homeless man is sleeping on the sidewalk,1,The man does not have to be homeless. He could be having a bad day,neutral
"A person is standing in front of a counter, that has animals to the side.",The animals are dogs.,1,Not all animals are dogs.,neutral
A girl in karate uniform breaking a stick with a front kick.,A girl is doing a karate test.,1,Not every girl can do karate.,neutral
People are holding flag and walking.,A person is standing still.,2,People are multiples of a person and not just one. Walking and standing still cannot be performed at the same time.,contradiction
Two boys fighting at the vending machines.,Two boys are fighting.,0,Two boys fighting means two boys are fighting.,entailment
The ripples in the water reflect the sunlight.,The water is still.,2,You cannot have ripples in still water.,contradiction
A blond man in a blue shirt inspects his tennis racket with his fingers.,A blond man in a blue shirt touches his tennis racket.,0,inspects his tennis racket with his fingers can also be said as  shirt touches his tennis racket.,entailment
A woman in a gray shirt and black Capris is running along a road.,The woman is naked.,2,A woman in gray shirt and black Capris cannot be naked.,contradiction
A counter person looks on at a food court.,The lady is walking down the street.,2,court and street are not the same,contradiction
A sleeping man lying on his side on the sidewalk wearing soiled clothes and unkempt hair.,The man is asleep outside.,0,"Sidewalk implies outside, and sleeping man is a paraphrase of man is asleep.",entailment
Three females and one male are walking at the edge of a road.,Two men are sitting beneath a tree.,2,He refers to three females and one male and not two men.,contradiction
Older women wearing a headscarf and clothes of varying colors staring forward.,Women staring forward.,0,Older women can be commonly referred to as women.,entailment
A woman with the name Steph on her yellow shirt is participating in a running race with other racers.,"Racers run in a race, including a woman in yellow whos shirt says Steph.",0,"If the woman is running a race, there are other racers.",entailment
A thoughtful woman walks down a metropolitan side street.,A woman is thinking about the day coming up.,1,It is not necessary that a thoughtful woman should think about the day coming up.,neutral
Many people wearing blue jackets are marching down a street.,Many people are wearing jackets on a street marching in a parade.,1,Marching down the street would not automatically be marching in a parade.,neutral
Several children sit on a carnival ride in front of the face of a clown and several fake balloons.,A carnival for dogs opens its doors today.,2,The carnival is either for dogs or small children.,contradiction
two men at a little league baseball game talking on the field.,A few people are talking while playing basketball.,2,2 men are talking at a baseball game and a few people are talking while playing basketball.,contradiction
Physically challenged men in wheelchairs engaging in a sporting event.,A man in a wheelchair is watching television.,2,"men is more than a man, and while they are engaging in a sporting event, he is watching television.",contradiction
The white dog leaping over a snow covered log.,The dog is outside,0,dog leaping over a snow covered log is same as dog is outside,entailment
"Girl touches young man's face as young man in pink shirt observes, leafy background.",The family is outside in the fall weather.,1,We don't know that the season is fall.,neutral
"A man drives a motorcycle in a wooded area, with another driver standing to the side.",The man is racing his friend.,1,Just because the man is driving a motorcycle in a wooded area with another driver standing to the side does not necessarily imply he is racing his friend.,neutral
Musicians play at night in front of an old-looking building.,Musicians are performing in front of a building.,0,Play is a synonym for performing.,entailment
A boy wearing a blue shirt is looking at a plant.,the boy is outdoors,1,Looking at a plant does not imply being outdoors.,neutral
Here is a picture of a man with long hair in a ponytail who works at this state park.,Here is a picture of a worker that has long hair.,1,Not every men is a worker.,neutral
The gondola is poling his boat in the canal.,The boat is actually a jetski,2,A gondola is not a jetski.,contradiction
Two young boys sitting in French apple boxes while in a living area.,Two young boys are sitting.,0,There are both two young boys are sitting on some surface.,entailment
A tall man in a gray suit walking towards the train.,A man is walking towards the train.,0,A tall man in a gray suit is a man. This is a restatement with less detail.,entailment
"Two younger women, one holding a small blond girl on her lap, watch as an elderly woman plays Chinese checkers against an opponent in a blue shirt whose back is to the camera.",the women are making cupcakes at home,2,Women making cupcakes generally don't do it while playing Chinese checkers.,contradiction
"Two donkeys pulling a cart, carrying green bushes, as well as carrying people on it.",The donkey is pulling a cart outside.,0,One donkey appears to have gone missing. Pulling a cart does not necessarily mean that it was done outside.,entailment
Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down.,The little boy is upset about something.,1,Sentence 1: Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down. Sentence 2: The little boy is upset about something.,neutral
A woman wearing a long black sweater is standing near a pink bike on the sidewalk.,a policeman was there to avoid any vehicle to stand on the sidewalk,2,There can either be a woman or policeman.,contradiction
A young (Asian) woman wearing sunglasses and a tan coat is smiling and hugging a wooden robot.,A woman left her husband to be with a robot.,1,Just because a woman smiles and hugs a robot doesn't mean she left her husband to be with it.,neutral
Two teams in rollerskates play hockey with a ball.,rollerskaters play hockey,0,Hockey is played with a ball.,entailment
Two women on bicycles kiss each other.,Two people are in love.,1,Not all women kissing each other are in love,neutral
A man in a gray shirt sits back in a chair.,The man sits.,0,If a man sits in a chair he sits.,entailment
A boy in a camouflage coat is jumping onto a snowboard.,The girl is jumping on the snowboard.,2,The person is either a boy or a girl.,contradiction
"A black dog, with a tennis ball in its mouth, swims through water.",The dog just fetched it's tennis ball.,1,That the dog just fetched a tennis ball cannot be inferred from a dog swimming with a ball in its mouth.,neutral
Three kids palying with a toy cat in a garden.,The children are laughing and having fun.,1,Three kids palying with a toy cat in a garden does not imply that they are laughing and having fun.,neutral
Women sitting on a bench waiting for her laundry,the women are sitted,0,Women sitting just implies women are sitted,entailment
A man in gray sits and watches a waterfall from a rock.,A male in gray sits and watches a waterfall from a rock.,0,A man is always referred as male and he is in grey sits watches a waterfall from a rock,entailment
A woman on a racetrack with her head pointing down screaming.,The woman just lost all of her lifes worth in a bet.,1,Pointing down and screaming does not imply the woman just lost all of her lifes worth.,neutral
a man in a black polo shirt holds an infant in a white blanket.,a man is the father of the baby he holds,1,Just because a man holds an infant doesn't mean that he is the father of that infant.,neutral
These two people are eating.,These two people are having a meal.,0,Eating means the same thing as having a meal.,entailment
A woman in a black dress and black heels carries a shopping bag while leaning against a green bar while her child plays with a toy truck on the ground.,A mother pushes her son in a stroller.,2,The mother is either pushing the child in a stroller or the child is playing with a toy truck on the ground also the one does not say if the child is male or female so it cannot be botb,contradiction
Young boy hitting a rock with a hammer.,Young boy hitting a rock with a tool.,0,A hammer is a tool.,entailment
Two people are playing water volleyball and one teammate is bracing another.,One teammate is holding onto the  other one.,0,bracing another is a rephrasing of  ' holding onto the other one.,entailment
A group of people are listening to a man with a moustache speak into a microphone.,A group of people are listening to a man.,0,A man with a mustache is a man.,entailment
Woman on cellphone running in the snow.,A man watches tv.,2,A woman is not a man.,contradiction
"A man with a watch on his left wrist, plays a Yamaha keyboard.",A man with a watch on his right wrist plays the keyboard.,2,The watch is either on his left or right wrist,contradiction
two men each wearing jackets leaning on a railing near a snowy road,They are standing by the road.,1,Just because two men are leaning on a railing doesn't imply that they are standing.,neutral
Commuters rush to get on the late train.,There are people at the train station.,0,Most trains are located at or near the train station.,entailment
"A person in a blue kayak, paddling over rough water.",A person is kayaking in water.,0,paddling over rough water implies that person is kayaking in water.,entailment
A man helping a boy ride a bike.,The man is teaching the boy how to ride a bike.,1,Helping does not necessarily imply teaching.,neutral
"Over a dozen people surrounding and taking pictures of two people in all covered head to toe in all silver, in an artistic pose.",Over a dozen people try to move past some street performers without paying them any mind.,2,If people are ignoring others without paying them any mind they aren't surrounding and taking pictures of them.,contradiction
"Four people are playing instruments, including a woman dressed in black playing a flute.","Five people are playing instruments, including a woman dressed in black playing a flute.",2,There can't be four people if there are five people.,contradiction
A young man is grilling hamburgers and hotdogs in a park on a sunny day.,A young man is grilling.,1,Just because a young man is in the park it does not mean he is grilling.,neutral
A duck and several plastic containers floating in water.,A duck swims in a lake,1,Just because a duck is in the water does not mean that it is swimming. Not all water is a lake.,neutral
A man with a denim hat and white beard gives a thumbs up.,A man gives a thumbs up.,0,A man wears a denim hat and white beard and gives a thumbs up.,entailment
A girl trick or treats with a black and red dress with black and white sleeves holding a scythe.,The child likes candy.,1,"Some people go trick or treating to raise money or to celebrate the holiday, not all like candy.",neutral
A varied group of people are on all fours with a woman laying on top of them; a man is seen attempting to jump or flip over them.,A man tries to leap over a group of people on the ground.,0,A man is trying which is the same as attempting to jump or flip over or leap over a group of people or them meaning group.,entailment
Six young adults smiling in a group.,The young adults are together in a group.,0,"If humans are smiling in a group, they are near enough to be considered together in a group",entailment
A soccer player in blue is chasing after the player in black and white.,girl chases dog,2,A soccer player can't be a dog.,contradiction
A man kneels down by a machine.,A man is kneeling.,0,kneels can be replaced by is kneeling.,entailment
A girl wearing a colorful hat sits on a woven mat.,A woman as something on her head.,0,The woman has a hat on her head.,entailment
Two young men are having good time.,Two lovers are doing fun things.,1,Two men together are not necessarily lovers.,neutral
A young male child running and smiling quite contently.,A boy is smiling while he runs to his mother.,1,Just because the child is smiling doesn't mean he is running towards his mother.,neutral
"A woman sits next to a smiling young girl, both seated at a table for a meal.",A woman sits next to her son.,2,the girl and the boy are different poeople,contradiction
Two black dogs are fighting over a toy,The dogs are black.,0,Dogs can mean two.,entailment
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,0,"man, woman and child are three people who are related so they are family of three.",entailment
A middle-aged man is getting his head completely shaved by another middle-aged man with hair.,The two men are at a play for children.,2,Men can either be at a play or getting his head shaved at the same time.,contradiction
A man is outside watching a small TV.,a man is watching a show,0,the man is watching a show on the small tv,entailment
Women wearing black standing and smoking.,The woman is wearing red,2,black and red are not the same.,contradiction
A man is splitting wood in front of an audience.,A man is joining all the woods to make it as a furniture,2,The man splitting wood is definitely not the person joining all the woods together.,contradiction
The field is fenced in.,There is a fence around the field.,0,Field is fenced in is same as a fence around the field.,entailment
A man puts a long object in his mouth while a woman holds a cake.,A young boy threw a piece of cake,2,"A young boy is not a man or a woman. ""Puts a object in his mouth"" or ""holds a cake"" is not ""threw a piece of cake"".",contradiction
This women is enjoying the nice hot summer weather in the tropical while enjoying a nice refreshing drink.,The woman has a drink.,0,enjoying a nice refreshing drink implies that one has a drink.,entailment
A man with a yellow hard hat is standing on a ladder that is leaned up against a building.,There is a man outside.,0,standing on a ladder that is leaned up against a building means that man is outside.,entailment
A group of motorcyclists riding down the street.,People are riding bicycles.,2,"One group is riding motorcycles, then the second group are on bicycles.",contradiction
"a stand with many different dry foods, such as nuts.",A stand at a grocery store,1,A stand with different dry food stands not necessarily at a grocery store.,neutral
A man stands behind some merchandise in an area with lots of candles.,A man works in his candle store,1,"Just because he is near candles, it cannot be said he works in a candle store.",neutral
A few people sit out on rocks overlooking the water below.,People are on vacation.,1,A few people sit out on rocks overlooking the water below does not imply they are on vacation.,neutral
A man and woman are standing on the side of a busy street.,People are outside.,0,Busy street implies outside.,entailment
A man in a cowboy hat on a horse swinging a rope to catch a bull.,A tall human swigning.,1,Not all men on horses who rope bulls are tall.,neutral
A dog is swimming in the water with a stick in his mouth.,A dog is sitting in a truck,2,Swimming and sitting are two different actions. There is no water in a truck.,contradiction
two women are in a boat fishing,two women are fishing,1,They may not necessarily be fishing.,neutral
The children are playing in the sand at a rocky beach.,The children are playing in the spaceship,2,"The children cannot be playing in the sand at a rocky beach outside if they are inside, playing in the spaceship.",contradiction
"A man in a lawn chair gives a small boy a hug and kiss, while another small boy in a yellow shirt plays in the sand with his toys.",A man in a lawn chair gives a small boy a hug and kiss,0,man  implies  man,entailment
A man with no shirt sits on a rock in front of a blue building with a tin roof.,A woman with no shirt sits on a rock in front of a blue building with a tin roof.,2,man and woman are different gender,contradiction
A young woman and an older man are making food at a street market.,Two people are cooking food at a market to sell.,1,Making food does not necessarily mean cooking food or to sell.,neutral
A man holds a baby in a house while a blond child looks at the camera.,A woman is holding a bunny rabbit.,2,Either a man is holding a baby or a woman is holding a rabbit.,contradiction
A woman leads a toddler and dog on an uphill climb through a meadow.,The lady has ice in her veins.,2,There can be either a woman who leads a toddler and dog or a lady who has ice in her veins.,contradiction
A man in a red jacket shades the sun from his eyes on a busy street.,a man is walking down the street at night.,2,A man would not shield his eyes from the sun at night.,contradiction
Three scouts are on top of a cliff overlooking the ocean.,The boy scouts are on an expedition.,1,Just because three scouts are on top of a cliff overlooking the ocean does not indicate that the  boy scouts are on an expedition.,neutral
A young woman is holding a man's arm.,"A Vietnam War veteran is bent over, clutching both of his ankles.",2,A young woman wouldn't be a Vietnam War veteran.  A man's arm is not his ankles.,contradiction
Shoppers look for Christmas gifts at Harrod's department store.,The shoppers are at the store.,0,"For shoppers to look for Christmas gifts at Harrod's department store, shoppers must be at the store.",entailment
A bride and groom are holding hands at a wedding ceremony.,A couple is at their wedding.,0,A bride and groom are a couple. A wedding ceremony is their wedding.,entailment
Three dogs are in the snow in front of a fence.,There are dogs outdoors.,0,In the snow implies outdoors.,entailment
A man in a brown shirt and jeans leans against a pole in front of Chanel while a man in a cinema security shirt faces the other way near him.,Some men outside a store,0,Chanel is a type of store.,entailment
A little boy in a gray shirt stands between two seated women.,Two women tower over young boy on bench.,2,one is about a boy while the other is about two women,contradiction
A man with glasses and no shirt looks in the mirror as he shaves.,A man in blue shorts is shaving.,1,"A man with glasses and no shirt could be wearing any color shorts besides blue shorts, or he may not be wearing shorts at all.",neutral
Many people walking down a street and one person is dressed as Santa Claus.,A person dressed as Santa Claus is walking.,0,One person is the same as A person.,entailment
A man standing on the sidewalk reading a newspaper.,The man is reading yesterdays news.,1,The fact that the man is reading a newspaper doesn't imply it is yesterdays news.,neutral
A skilled surfer rides a very large wave;,A man is surfing near the beach.,1,Surfs a wave does not imply being near the beach.,neutral
A girl in a white top is sitting by the pool.,the girl is in a bathing suit,1,Not all girl in a white top sitting by the pool in a bathing suit,neutral
A man pick a stone at the sea,The man picked up a large stone and threw it in the sea.,1,A man picked up a stone is not necessary to threw it in the sea.,neutral
Girl playing basketball while holding the ball in her hand from the other team in order to make a shot in the hoop or pass the ball to one of her teammates.,A girl is playing basketball.,0,"If a girl playing basketball while holding the ball in her hand from the other team in order to make a shot in the hoop or pass the ball to one of her teammates, she is playing basketball.",entailment
Two people on a scooter wait for a man carrying a guitar to cross the road.,People on a scooter rundown the guitar player.,2,The men on the scooter waiting for the man crossing can't rundown the man.,contradiction
Skiers are on the snow near to the resort buildings below the mountain range.,Skiers are inside enjoying coffee,2,Snow is not located inside.,contradiction
A woman dressed in white pauses while reading her book.,A lady reading a book.,0,"woman referred as lady, who is reading a book.",entailment
A white Isuzu truck is passing by a man with a wagon and two donkeys on a road.,A white vehicle is outdoors next to a man with a wagon and two animals.,0,An Isuzu truck is a vehicle. Being outdoors is required when on a road. Donkeys is sufficient to describe animals.,entailment
The teddy bear is wedged in the gate,The teddy bear is on the roof,2,A gate isn't a roof.,contradiction
A boy in a striped t-shirt is standing by a tree in front of the picnic tables.,the boy is playing x-box in his living room,2,how can he be inside playing x-box if he is standing by a tree and picnic tables,contradiction
Man stands outside a storefront.,a man stands outside near a building,0,Man stands outside a store front implies that he is standing in front of a store. Store is a building. So it implies he is near a building.,entailment
A man and a woman are walking along a sidewalk and talking in the sun,There are two people having a walk outside.,0,If someone is going to walk they are walking,entailment
"A woman is sitting in a field, blowing on a handful of dandelions, which are also called wishing flowers.",The woman wishes for riches,1,"A woman is sitting in a field, blowing on a handful of dandelions, which are also called wishing flowers does not imply she wishes for riches",neutral
Pre-teen students attend a computer class.,Pre-teen students are in a class.,0,The students are in the class to learn about computers,entailment
Two dogs wrestle in a kiddie pool.,Two dogs are on Mars.,2,Dogs on Mars would not be in a kiddie pool.,contradiction
Elderly bald man with a beard playing the guitar in a band.,The band is playing a benefit concert in the park.,1,A benefit concert in the park is not the only reason for the man to play the guitar in a band.,neutral
"An aerial view of a large building with many windows, a terracotta roof, and a few pedestrians crossing a street.",The people are inside drinking beer.,2,aerial and inside are not the same,contradiction
"Man wearing black is held down by the man wearing red, white and blue.",The priest is hearing confession from a man on the other side of the confessional wall.,2,held down is not the same as hearing confession,contradiction
A woman gazing out over a railing from a walkway.,A female is looking out while on her phone,1,A women gazing does not imply she is on her phone.,neutral
A group of twenty or so people posing for a picture.,People are standing together.,0,A group of twenty or so people are standing together and posing for a picture.,entailment
A man is walking three small dogs past a whimsical mural.,A man is walking his dogs.,0,A man walking three small dogs is the same as a man walking his dogs.,entailment
A shirtless man with sunglasses and a helmet is riding a motorcycle next to traffic cones.,The man is wearing a shirt.,2,A man can't be shirtless if he's wearing a shirt.,contradiction
"Two little boys, one with blue pants and shirt, and the other with blue shirt and gray pants, are playing with Thomas the Train toys on a hardwood floor.",A little boy has blue pants.,0,"Two little boys, one with blue pants and shirt, and the other with blue shirt and gray pants, are playing with Thomas the Train toys on a hardwood floor, couldn't at he same time just be a  little boy that has blue pants.",entailment
A man in a yellow shirt having a drink outside of a cafe.,Children are singing songs on a bus.,2,"There are two different events happening as the man is having a drink outside of a cafe, and the children are singing songs on a bus.",contradiction
A man is standing in the sand throwing a beanbag into a hole.,A man is standing in water throwing bags at people.,2,The man is either standing in the sand or in the water. He cannot be throwing beanbags into the hole and at people simultaneously.,contradiction
Two people are enjoying drinks while having a conversation with one another outdoors.,They enjoy being outside.,1,Just because people are enjoying drinks outdoors doesn't mean they enjoy being outside.,neutral
A brown dog and two black dogs in an overgrown grassy field.,The three dogs are outside.,0,"A brown dog and two black dogs are three dogs. They were in a field, so it is safe to assume they were outside.",entailment
A guy showing his bike to a kid.,A man is showing his skateboard to another.,2,The same object cannot be both a kid and another man.,contradiction
A crowd taking way from the sun underneath a shielding tarp.,People at an event taking a break.,1,Going underneath a tarp does not necessarily mean that they are taking a break.,neutral
Young girl in a brightly colored outfit peeks through a wooden fence.,a joung girl is playing hide and seek,1,there are other reasons to peek through the fence than playing hide and seek,neutral
"An old police car, a police motorcycle and a newer police car outside of the mobile command unit.",An old police car and newer police car are outside.,0,Old police car and newer police car are outside is less descriptive way of saying they are outside of the mobile command unit.,entailment
Yellow bus is full of people on a rural street.,The city bus is on the main street.,2,There is either a rural street or a main street.,contradiction
A bicyclist catches some air,The bicyclist is doing tricks,1,A bicyclist can catch some air even if the bicyclist is not doing tricks.,neutral
A man in an apron is pushing a large amount of shopping carts.,Mom and baby are shopping,2,A mom and a baby are not a man.,contradiction
"An older, white woman stands along a crowded street wearing a swimsuit, holding a yellow sign with black letters that states, ""Secure Borders, Legal Immigration.""",A woman in a blue swimsuit holding a sign on a busy street,1,Not all swimsuits are blue.,neutral
A guy surfing.,Surfing guy.,0,"Guy surfing is a rephrasing of ""Surfing guy.""",entailment
A young woman giving a male child a kiss on the cheek.,Adults and children are playing tag.,2,A young women playing with a children.,contradiction
A man in khaki walking down a sidewalk.,A man is outdoors.,0,"A man in khaki is a man, and a sidewalk is outdoors.",entailment
A little boy dressed in gray and wearing a large watch lies on a table and watches another boy wearing a green hat coloring in a book.,a boy in gray,0,Boy in gray implies a boy dressed in gray.,entailment
a woman is sitting by a fence holding a baby in her arms.,a mother holds her dead child in her arms,1,baby  doesn't always mean dead child,neutral
Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest.,A woman with a book next to her.,0,A woman is sitting with her book.,entailment
The men fight during the game.,The men are fighting,0,"""The men fight"" rephrases ""the men are fighting"".",entailment
Child in camouflage jacket jumps on sled.,A child is wearing camoflage green jacket.,1,Camouflage jackets come in colors other than green as well.,neutral
Two toddlers wrestle on a white couch.,Two kids are on a couch.,0,two toddlers is a rephrasing of two kids.,entailment
A man in a blue shirt is reading the newspaper.,The man is reading the sports section.,1,We have no idea if he is reading the sports section or one of the other many sections of the paper.,neutral
"Children sitting on the floor, raising their hands.",The children are raising their hands while sitting down.,0,Each sentence describes children sitting down raising their hands.,entailment
A woman in a gray jacket is walking in a town where a group of bikers has stopped.,The bikers enjoy looking at the woman.,1,Just because there is a woman walking doesn't mean the bikers enjoy looking at her or that they are looking at her.,neutral
A smiling little boy in a green jacket eats a snack.,A boy is swimming.,2,The boy who eats a snack cannot be simultaneously swimming.,contradiction
A musician sitting cross legged in front of a microphone.,A musician is performing live.,1,A musician sitting cross legged in front of a microphone does not indicate he is performing live,neutral
A tan and black dog jumps through a water sprinkler in the yard.,The dog is wet.,0,If the dog jumps through a water sprinkler then it will be wet.,entailment
Three people walk past a construction zone fenced off with orange plastic fencing.,A new house is being built.,1,Not all zones are a new house being built.,neutral
A man dives into a river.,The man is outside jumping into the water.,0,Dives is the same as jumping.  A man dives into a river so it has water in it.,entailment
A man is working under a white vehicle while a child watches him.,a younger man is working on a car,1,A man is not necessarily a younger man and a vehicle is not necessarily a car.,neutral
Group of people illuminated by soft oil lantern light.,They are in the dark,1,Dark mean not having a lantern light.,neutral
Five men are in a subway making repairs.,Tall humans repairing,1,Not all men are tall.,neutral
Six dogs are competing in a race.,The dogs are sleeping.,2,The dogs cannot be sleeping if they are competing in a race.,contradiction
A woman smiles while holding several green peppers at a grocery stand.,A woman frowns as she holds red peppers.,2,Smiles are different than frowns and green peppers are different than red peppers.,contradiction
Motorcyclist on motorcycle racing around track.,A motorcyclist racing around a track.,0,There is a motorcyclist racing around,entailment
"Two shirtless little boys, one leaning on the other, standing on a large rock in front of some trees.",Two boys are standing on a large rock in a forest clearing.,1,You can not infer they are in the forest.,neutral
An oddly dressed black-haired young woman possess for a picture along a bike path.,A woman dressed like the Hamburglar poses for a picture.,1,A woman does not have to be dressed like the Hamburglar in order to pose for a picture.,neutral
a woman and three children are in a room full of toys.,It is snowing on these people.,2,It can't snow in a room.,contradiction
A woman rests her head in front of many vegetables.,The woman is a farmer.,1,Rests her head in front of vegetables does not imply being a farmer.,neutral
People eat under green trees.,People are outdoors.,0,Trees are outdoors.,entailment
